STATION,NAME,DATE,PRCP
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/1/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/2/22,0.79
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/3/22,0.49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/4/22,0.22
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/5/22,0.33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/6/22,2
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/7/22,0.38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/8/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/9/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/10/22,0.27
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/11/22,1.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/12/22,0.14
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/13/22,0.24
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/14/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/15/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/16/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/17/22,0.02
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/18/22,0.03
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/19/22,0.01
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/20/22,0.16
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/21/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/22/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/23/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/24/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/25/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/26/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/27/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/28/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/29/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/30/22,0.28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/31/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/1/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/2/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/3/22,0.14
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/4/22,0.03
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/5/22,0.04
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/6/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/7/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/8/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/9/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/10/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/11/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/12/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/13/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/14/22,0.1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/15/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/16/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/17/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/18/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/19/22,0.01
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/20/22,0.36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/21/22,0.06
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/22/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/23/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/24/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/25/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/26/22,0.36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/27/22,1.25
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/28/22,2.97
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/1/22,0.15
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/2/22,0.25
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/3/22,0.16
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/4/22,0.46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/5/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/6/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/7/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/8/22,0.08
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/9/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/10/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/11/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/12/22,0.02
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/13/22,0.1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/14/22,0.59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/15/22,0.22
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/16/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/17/22,0.02
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/18/22,0.21
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/19/22,0.31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/20/22,0.21
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/21/22,0.41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/22/22,0.02
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/23/22,0.09
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/24/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/25/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/26/22,0.01
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/27/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/28/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/29/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/30/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/31/22,0.01
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/1/22,0.05
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/2/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/3/22,0.23
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/4/22,0.55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/5/22,0.01
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/6/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/7/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/8/22,0.06
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/9/22,0.23
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/10/22,0.05
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/11/22,0.02
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/12/22,0.01
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/13/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/14/22,0.13
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/15/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/16/22,0.01
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/17/22,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/18/22,0.23
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/19/22,0.14
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/20/22,0.08
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/21/22,0.18
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/22/22,0.01
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/23/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/24/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/25/22,0.14
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/26/22,0.05
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/27/22,0
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/28/22,
